date,close_adj,sma200,is_bull
2019-07-10,270.1391,248.9474,1
2019-07-11,270.7724,249.0004,1
2019-07-12,271.9846,249.0638,1
2019-07-15,272.0751,249.1289,1
2019-07-16,271.1976,249.1934,1
2019-07-17,269.3521,249.2451,1
2019-07-18,270.3382,249.3016,1
2019-07-19,268.8364,249.3461,1
2019-07-22,269.4968,249.3946,1
2019-07-23,271.4238,249.4521,1
2019-07-24,272.6993,249.5261,1
2019-07-25,271.3966,249.6008,1
2019-07-26,273.215,249.6846,1
2019-07-29,272.7174,249.7677,1
2019-07-30,272.048,249.8881,1
2019-07-31,269.0716,250.0209,1
2019-08-01,266.7286,250.1252,1
2019-08-02,264.7203,250.2263,1
2019-08-05,256.7593,250.2608,1
2019-08-06,260.3598,250.3132,1
2019-08-07,260.5136,250.3844,1
2019-08-08,265.6249,250.4818,1
2019-08-09,263.8156,250.5756,1
2019-08-12,260.6041,250.6597,1
2019-08-13,264.6569,250.8009,1
2019-08-14,256.8317,250.8818,1
2019-08-15,257.5102,250.9873,1
2019-08-16,261.3097,251.1183,1
2019-08-19,264.4579,251.2476,1
2019-08-20,262.4315,251.3541,1
2019-08-21,264.5665,251.4584,1
2019-08-22,264.485,251.5695,1
2019-08-23,257.6911,251.64,1
2019-08-26,260.5407,251.717,1
2019-08-27,259.5185,251.7626,1
2019-08-28,261.3459,251.8197,1
2019-08-29,264.6841,251.9057,1
2019-08-30,264.5665,252.0142,1
2019-09-03,263.0195,252.1172,1
2019-09-04,266.0049,252.2434,1
2019-09-05,269.4245,252.3742,1
2019-09-06,269.6325,252.5029,1
2019-09-09,269.7682,252.6528,1
2019-09-10,269.7049,252.8247,1
2019-09-11,271.6228,253.0021,1
2019-09-12,272.5636,253.1921,1
2019-09-13,272.3827,253.3622,1
2019-09-16,271.5414,253.5242,1
2019-09-17,272.2289,253.662,1
2019-09-18,272.3917,253.8034,1
2019-09-19,272.3736,253.9372,1
2019-09-20,271.0923,254.0483,1
2019-09-23,271.0287,254.1995,1
2019-09-24,268.902,254.3418,1
2019-09-25,270.4925,254.52,1
2019-09-26,269.929,254.6932,1
2019-09-27,268.4748,254.8588,1
2019-09-30,269.7199,255.0248,1
2019-10-01,266.5117,255.1751,1
2019-10-02,261.8038,255.3236,1
2019-10-03,263.9487,255.5057,1
2019-10-04,267.5205,255.7069,1
2019-10-07,266.3663,255.9193,1
2019-10-08,262.231,256.1293,1
2019-10-09,264.7213,256.3742,1
2019-10-10,266.5117,256.6565,1
2019-10-11,269.2746,256.8996,1
2019-10-14,268.9747,257.1327,1
2019-10-15,271.6376,257.3805,1
2019-10-16,271.2014,257.6164,1
2019-10-17,272.0012,257.8552,1
2019-10-18,270.8106,258.1148,1
2019-10-21,272.6464,258.3469,1
2019-10-22,271.7558,258.5656,1
2019-10-23,272.5465,258.7776,1
2019-10-24,272.9918,258.9864,1
2019-10-25,274.1097,259.1967,1
2019-10-28,275.6547,259.4143,1
2019-10-29,275.5729,259.6386,1
2019-10-30,276.4182,259.8538,1
2019-10-31,275.682,260.0626,1
2019-11-01,278.2359,260.2753,1
2019-11-04,279.3538,260.4778,1
2019-11-05,279.0448,260.695,1
2019-11-06,279.1084,260.91,1
2019-11-07,280.0899,261.1293,1
2019-11-08,280.7807,261.3421,1
2019-11-11,280.2444,261.5612,1
2019-11-12,280.8352,261.7848,1
2019-11-13,280.9261,261.9903,1
2019-11-14,281.3351,262.1872,1
2019-11-15,283.3709,262.3937,1
