ticker,entry_date,entry_price,exit_date,exit_price,shares,stop_loss,atr_at_entry,R,gross_pnl,net_pnl,pnl_r_multiple,exit_reason,holding_days,gap_adjusted_loss_multiple,entry_commission,exit_commission
ITMN,2014-08-14,51.14109,2014-09-29,73.89,36069,46.550373263660134,2.2953583681699334,4.590716736339864,820530.4347900001,819177.510874437,4.9554157458509405,delisted,46,4.9554157458509405,553.3823925629999,799.5415230000001
HCA,2014-08-06,61.625195800529504,2014-10-02,63.52564921667676,29934,58.398912052223665,1.6131418741529195,3.226283748305839,56888.172558952014,55764.292940528496,0.5890534015010952,trailing_stop,57,0.5890534015010952,553.4065833279151,570.4730350956007
SCHW,2014-09-15,25.54730706972877,2014-10-02,24.950471925779343,75917,24.620043522378072,0.4636317736753489,0.927263547350698,-45309.93362320865,-46460.02558960924,-0.6436521155766943,trailing_stop,17,-0.6436521155766943,581.8424732437796,568.2494931568172
PII,2014-09-29,108.9298691671083,2014-10-02,104.94583058828653,17761,105.24596715200384,1.8419510075522272,3.683902015104451,-70760.50919845341,-71900.10308946008,-1.0814724611259257,stop_loss,3,-1.0814724611259257,580.4110218831031,559.1828691235671
LMT,2014-09-29,132.491198747025,2014-10-02,129.21538298350114,14602,129.32989615342566,1.5806512967996655,3.161302593599345,-47833.46177897549,-48979.89363090423,-1.0362234131450672,stop_loss,3,-1.0362234131450672,580.3909452312178,566.0409066975251
LNG,2013-10-01,32.97313835836465,2014-10-03,73.16745460607746,49863,31.06551645847749,0.9538109499435802,1.907621899887161,2004209.1910597037,2002621.444543608,21.070378910039963,trailing_stop,367,21.070378910039963,493.24187938894096,1094.504636706852
AMGN,2014-08-15,95.4540458822095,2014-10-03,98.6648245973369,19473,91.81363140478703,1.8202072387112374,3.6404144774224676,62523.49391967594,61389.47089022148,0.8819816356187936,trailing_stop,49,0.8819816356187936,557.6329906392796,576.3900388151825
MSFT,2014-09-09,39.224398879450575,2014-10-03,38.733255610680054,49950,38.23661023070076,0.4938943243749052,0.9877886487498131,-24532.60627508755,-25700.801727622154,-0.497214934988505,trailing_stop,24,-0.497214934988505,587.7776172085669,580.4178353260406
CP,2014-10-06,39.55204674840955,2014-10-08,37.30027737286978,48463,37.88952644501698,0.8312601516962832,1.6625203033925686,-109127.49924678402,-110244.84750195089,-1.3544312036038129,stop_loss,2,-1.3544312036038129,575.0432524704516,542.3050026964164
ZTS,2014-10-06,34.38034464337663,2014-10-08,33.3951022844263,55753,33.4560741773827,0.4621352329969642,0.9242704659939278,-54930.217238557765,-56063.8225863275,-1.0659675876268917,stop_loss,2,-1.0659675876268917,575.0422064706532,558.5631412990858
CF,2014-09-24,38.961142079628765,2014-10-10,39.14749386821131,49671,37.6639470312065,0.6485975242111344,1.2971950484222674,9256.27969068378,8092.35947383423,0.1436574929955228,trailing_stop,16,0.1436574929955228,580.5716664711721,583.3485503783771
ETP-,2014-10-01,49.97362614818408,2014-10-10,46.25057014193649,38481,48.313985298534114,0.8298204248249839,1.6596408496499677,-143266.91817641346,-144377.7591656455,-2.243290171504764,stop_loss,9,-2.243290171504764,576.9105323424815,533.9304568895575
SBAC,2014-08-11,100.75630128306241,2014-10-13,98.0233573873964,18178,96.95371152945287,1.9012948768047717,3.8025897536095385,-49679.45413541675,-50763.479126010236,-0.7187059537705361,trailing_stop,63,-0.7187059537705361,549.4644134170526,534.5605771764276
PANW,2014-09-11,16.38636999996739,2014-10-13,15.759225000035254,118896,15.309744660473356,0.5383126697470164,1.0766253394940328,-74565.0319119311,-75711.62671086719,-0.582509975314965,trailing_stop,32,-0.582509975314965,584.4821542548368,562.1126446812575
SHPG,2014-09-29,254.672031092667,2014-10-13,244.1340429644164,7596,245.78529544713052,4.443367822768239,8.886735645536476,-80046.55782219148,-81183.23710375276,-1.1858109151185885,stop_loss,14,-1.1858109151185885,580.3466244539695,556.332657107312
HBI,2014-10-06,19.542709166102046,2014-10-13,18.616419576534458,98084,18.819648186821063,0.36153048964049117,0.7230609792809837,-90854.18810314732,-91977.02809822514,-1.281067041522136,stop_loss,7,-1.281067041522136,575.0481257543859,547.7918693234418
ADP,2014-10-06,57.75817068658437,2014-10-13,55.99715171974803,33187,56.27649052292434,0.7408400818300163,1.4816801636600303,-58442.93645239758,-59575.49581780727,-1.1885284085104366,stop_loss,7,-1.1885284085104366,575.0461231727027,557.5132422369834
UTHR,2014-09-23,132.9328,2014-10-14,122.95692,14654,124.90957644691478,4.011611776542603,8.023223553085202,-146186.54551999984,-147311.48790706386,-1.2433755502380242,stop_loss,21,-1.2433755502380242,584.39917536,540.543211704
NKE,2014-09-30,37.96611815158971,2014-10-14,36.647047635313186,50975,36.63552881816788,0.6652946667109172,1.330589333421834,-67239.61956719588,-68380.6414049921,-0.991343071182086,stop_loss,14,-0.991343071182086,580.5968618331857,560.4249759630269
EW,2014-07-31,15.370355000034058,2014-10-16,16.34696999996665,123989,14.755082805965912,0.3076360970340732,0.6152721940681456,121089.51722664209,119909.73740381455,1.587289348272457,trailing_stop,77,1.587289348272457,571.7264838297668,608.0533389977595
BDX,2014-10-07,79.61926988929248,2014-10-16,78.1993218839347,23976,77.52573190562201,1.0467689918352348,2.0935379836704726,-34044.67337645817,-35179.83094336464,-0.6782528028788248,stop_loss,9,-0.6782528028788248,572.6854844597029,562.4720824467655
KO,2014-10-07,30.146501123507342,2014-10-16,29.511944464122294,63323,29.517187867148465,0.31465662817943885,0.629313256358877,-40182.03134223938,-41315.356867223025,-1.0083319443428038,trailing_stop,9,-1.0083319443428038,572.6900671931566,560.6354577904848
DTE,2014-10-09,45.96343163104677,2014-10-16,44.72032308492914,20856,44.72200974226975,0.6207109443885107,1.241421888777019,-25926.27183782919,-26493.66195433611,-1.0013586495903242,stop_loss,7,-1.0013586495903242,287.5839990291334,279.80611747778465
KR,2014-10-09,21.571311668662297,2014-10-16,20.451801537683817,88880,21.00981094333646,0.28075036266291825,0.5615007253258355,-99502.06044136727,-100622.56473190128,-1.9937821635561284,stop_loss,7,-1.9937821635561284,575.1774543332115,545.3268362008013
TLT,2014-10-16,90.14400190324984,2014-10-17,87.84018945173675,10285,88.22560755370613,0.9591971747718621,1.9183943495437177,-23694.711063812192,-24243.881286238,-1.2009066082065183,stop_loss,1,-1.2009066082065183,278.1393178724774,271.03090455333376
IEF,2014-10-13,81.48610866871078,2014-10-20,81.99380030656192,22976,80.85822718717193,0.31394074076942613,0.62788148153885,11664.723071267757,10537.888754682997,0.8085787728710473,trailing_stop,7,0.8085787728710473,561.6674498316897,565.16686675307
INFY,2014-10-13,5.843423294690092,2014-10-24,5.65922075115687,320407,5.6306798813769365,0.106371706656578,0.21274341331315583,-59019.78436584905,-60125.44266708836,-0.8658436971774913,trailing_stop,11,-0.8658436971774913,561.6821182745306,543.9761829647758
CCI,2014-10-22,51.87627577705712,2014-11-03,48.20801444799279,35758,50.09554858110258,0.8903635979772699,1.7807271959545403,-131169.68860468228,-132243.33281964247,-2.059979393473572,stop_loss,12,-2.059979393473572,556.4975607708026,517.1466541893977
AEP,2014-10-23,37.04640024223734,2014-11-14,37.404202385517436,24989,35.792370210856106,0.6270150156906157,1.2540300313812338,8941.117758426335,8382.983925706845,0.28532182988153837,trailing_stop,22,0.28532182988153837,277.72574869598066,280.4080840235086
GMCR,2014-10-08,137.1484057736695,2014-11-21,141.88306026993544,13857,130.95289225457952,3.097756759544996,6.195513519089985,65608.10735475703,64448.145647267156,0.7642069509940109,trailing_stop,44,0.7642069509940109,570.1396376417216,589.8220698481487
UNP,2014-10-24,87.06908912525144,2014-12-01,90.07528695455822,10676,83.01593965005961,2.0265747375959178,4.05314947519183,32094.16802567924,31526.810017970824,0.7416942917370463,trailing_stop,38,0.7416942917370463,278.8648786503553,288.4931290580591
CSX,2014-10-22,9.492205757271734,2014-12-02,9.66669357844423,195425,8.9969746126913,0.24761557229021638,0.4952311445804334,34099.28245263509,32976.0440818304,0.352336122398612,trailing_stop,41,0.352336122398612,556.5042930344486,566.7340777702391
KDP,2014-10-24,9.005649522044806,2014-12-15,9.519701125199616,103221,8.670537670508201,0.16755592576830178,0.3351118515366043,53060.920529242634,52487.25896349487,1.5339702275455336,trailing_stop,52,1.5339702275455336,278.87164479449604,294.78992095326885
DPS,2014-10-24,61.747786696131605,2014-12-15,65.27241295053096,15054,59.44792945043064,1.1499286228504826,2.299857245700963,53059.72363372794,52486.07500808368,1.5325413179395417,trailing_stop,52,1.5325413179395417,278.8653542770695,294.7832713671879
ALXN,2014-10-24,185.6855,2014-12-15,187.87194,5006,173.56052422334645,6.062487888326766,12.124975776653542,10945.318640000023,10384.310076608022,0.18032530870782948,trailing_stop,52,0.18032530870782948,278.8624839,282.14607949199996
AMT-P-A,2014-05-02,81.45587709673205,2014-12-16,107.6922,22223,79.14911438719164,1.1533813547702034,2.3067627095404077,583049.8038793235,581788.7725641273,11.373654860449513,trailing_stop,228,11.373654860449513,543.058187016203,717.97312818
IBB,2014-10-24,92.15254630620275,2014-12-16,95.68837996377368,10087,87.80884705441306,2.1718496258948425,4.343699251789687,35665.954103918004,35097.52867693242,0.814014380971266,trailing_stop,53,0.814014380971266,278.86282037720014,289.5626066083755
XLY,2014-11-17,30.401168453243947,2014-12-16,30.472246236100954,31584,29.64669547074062,0.37723649125166336,0.7544729825033265,2244.920693755697,1668.1329148912162,0.0942085197287939,trailing_stop,29,0.0942085197287939,288.05715132817704,288.73062753630376
UNH,2014-10-22,75.45042362866357,2014-12-17,79.80348089465443,24585,72.47284584460182,1.488788892030873,2.9775777840617508,107019.9128843852,105874.83771157346,1.4619457766281412,trailing_stop,56,1.4619457766281412,556.4845994732082,588.5905733385238
KIM,2014-10-24,13.720290431620933,2014-12-17,14.304625851517466,135504,13.30531346300576,0.2074884843075863,0.4149769686151732,79179.7867376598,78040.54026085068,1.4081153029926667,trailing_stop,54,1.4081153029926667,557.7462703939088,581.5002064152068
EW,2014-10-27,19.446093333300094,2014-12-17,20.972339999967666,96503,18.5445690173986,0.4507621579507477,0.9015243159014936,147287.38207342065,146117.23205183254,1.6929622859272262,trailing_stop,51,1.6929622859272262,562.9819034830376,607.168118105064
MELI,2014-11-03,134.46410750948547,2014-12-17,125.27608320338655,14236,124.62915238394142,4.91747756277203,9.834955125544056,-130800.71402162428,-131910.01242812083,-0.9342212738963215,trailing_stop,44,-0.9342212738963215,574.2693103515105,535.0290961450233
ADBE,2014-12-15,75.73565999999998,2014-12-17,72.4275,26003,72.58712637012717,1.5742668149364103,3.1485336298728157,-86022.08447999966,-87177.89047484366,-1.050698639078414,stop_loss,2,-1.050698639078414,590.8063100939999,564.99968475
DG,2014-12-18,61.87514023202399,2014-12-22,58.99743910500798,31594,59.34477157285095,1.2651843295865164,2.5303686591730354,-90918.08940694382,-92063.74388841608,-1.137265558749249,stop_loss,4,-1.137265558749249,586.4649541471697,559.1895273250867
CELG,2014-10-24,99.64954999999999,2014-12-24,105.52436999999999,18656,93.7306183811689,2.959465809415551,5.918931618831095,109600.64192,108452.32452454399,0.9925473680603516,trailing_stop,61,0.9925473680603516,557.7186014399999,590.5987940159999
PNC,2014-12-19,64.6455516896224,2015-01-05,62.824088074024154,15271,62.66934210057866,0.9881047945218684,1.9762095890437337,-27815.57087380073,-28399.547534449925,-0.921695565944312,stop_loss,17,-0.921695565944312,296.16066595566707,287.8159946935269
TFCF,2014-12-02,34.168704492593264,2015-01-06,34.31063697161442,28952,32.82169413582181,0.6735051783857285,1.347010356771456,4109.229132620554,3514.444964399032,0.10536851354383381,trailing_stop,35,0.10536851354383381,296.77569974086805,298.0084684806542
ETR,2014-12-15,27.630805657626638,2015-01-06,27.766852975432133,35638,26.625522926880315,0.502641365373161,1.0052827307463232,4848.4543119522405,4256.175784442756,0.1353323932109065,trailing_stop,22,0.1353323932109065,295.4119956079494,296.8665319015351
CVS,2014-12-17,66.90584285750353,2015-01-06,68.07422925805535,28892,64.84737999671665,1.0292314303934376,2.058462860786875,33757.01988474331,32587.066611674494,0.5676013994759144,trailing_stop,20,0.5676013994759144,579.9130835516976,590.0401895171206
ORCL,2014-12-19,38.05018715118642,2015-01-06,37.20061300156048,51889,36.56411265680202,0.7430372471922004,1.486074494384404,-44083.553049940616,-45254.95968067838,-0.5716901493406454,trailing_stop,18,-0.5716901493406454,592.3158483263736,579.0907824113915
KRFT,2014-12-19,62.3461841829782,2015-01-06,61.77335653211873,15834,60.49429428348905,0.9259449497445754,1.8518898994891515,-9070.153023708786,-9659.74566601364,-0.3093205762488807,trailing_stop,18,-0.3093205762488807,296.15684410598305,293.4357981988704
ACN,2014-12-19,73.8053746227698,2015-01-06,71.49270373791899,26751,71.39180008051078,1.206787271129516,2.4135745422590276,-61866.258840644216,-63032.31950891225,-0.9581932707519496,stop_loss,18,-0.9581932707519496,592.3102729601145,573.7503953079213
KMX,2014-12-22,67.38731999999999,2015-01-06,64.90503,29223,64.15217802361082,1.6175709881945841,3.2351419763891727,-72539.96066999977,-73699.75447321477,-0.7672893548772599,stop_loss,15,-0.7672893548772599,590.777895708,569.0159075070001
WBA,2014-12-24,52.666763131695674,2015-01-07,51.11757404788804,37537,50.46627492779019,1.1002441019527431,2.2004882039054863,-58151.91063888712,-59320.63643830013,-0.704020626449208,stop_loss,14,-0.704020626449208,593.0856863023382,575.640113110672
DLTR,2014-11-21,66.90684,2015-01-15,67.44249,28942,64.65854247825962,1.1241487608701912,2.2482975217403833,15502.782300000115,14336.280807342115,0.2382469378809629,trailing_stop,55,0.2382469378809629,580.925328984,585.5761636740001
ORLY,2014-10-22,10.607263333367033,2015-01-16,11.955366,174881,10.259637827703203,0.1738127528319148,0.34762550566382977,235757.54244343983,234573.80988930527,3.878031515721534,trailing_stop,86,3.878031515721534,556.502645700768,627.2299084338
NVS,2015-01-16,64.93838241025796,2015-01-23,63.8124809605296,30228,63.08997522964741,0.9242035903052761,1.8484071806105504,-34033.74902238887,-35201.31335178052,-0.6091198203181951,stop_loss,7,-0.6091198203181951,588.8872270491833,578.6771023424666
RCL,2014-12-03,66.06624160900287,2015-01-30,65.98477061163257,15063,62.79942439753928,1.633408605731794,3.2668172114635894,-1227.1976333888765,-1823.9229525127062,-0.024938951920668615,trailing_stop,58,-0.024938951920668615,298.54673920692306,298.1785799169064
ZBH,2015-01-06,103.86924146534736,2015-01-30,99.08735367636916,18620,100.15361100154423,1.8578152319015644,3.715630463803123,-89038.75063077401,-90172.46617123563,-1.2869653846264648,stop_loss,24,-1.2869653846264648,580.2135828254304,553.5019576361981
