ticker,entry_date,orig_exit_date,orig_net_pnl,orig_exit_reason,shares,entry_commission,entry_price,stop_loss,R,be1r_triggered,be1r_exit_date,be1r_exit_price,be1r_net_pnl,be1r_exit_reason,be15r_triggered,be15r_exit_date,be15r_exit_price,be15r_net_pnl,be15r_exit_reason,be2r_triggered,be2r_exit_date,be2r_exit_price,be2r_net_pnl,be2r_exit_reason
EWZ,2010-10-06,2010-10-22,-16923.881077885264,stop_loss,15604,184.1254544322166,39.33296044437678,37.959547747679274,1.3734126966975069,False,2010-10-22,38.717063724318585,-9975.820192926578,stop_loss,False,2010-10-22,38.717063724318585,-9975.820192926578,stop_loss,False,2010-10-22,38.717063724318585,-9975.820192926578,stop_loss
BBD,2009-10-01,2009-10-29,-12291.989832516909,trailing_stop,214753,174.35946723843563,2.706356717382848,2.5627032796346807,0.143653437748167,False,,,,,False,,,,,False,,,,
BBD,2010-07-29,2010-08-25,-36527.64992499756,stop_loss,171565,175.2116719685881,3.404184458146827,3.2065180961695243,0.1976663619773027,False,,,,,False,,,,,False,,,,
BBD,2010-09-14,2010-11-24,78674.91262678918,trailing_stop,335598,355.0944669712936,3.526982351616057,3.3615617112006513,0.1654206404154052,False,,,,,False,,,,,False,,,,
BBD,2016-10-19,2016-11-07,-5873.246729212558,stop_loss,514148,567.7266748327041,3.6806955379430577,3.48977880558378,0.1909167323592773,False,,,,,False,,,,,False,,,,
BUCY,2009-10-21,2009-10-29,45953.28654154948,trailing_stop,14324,179.8395986722611,41.85041391423744,38.55667147458701,3.2937424396504227,False,,,,,False,,,,,False,,,,
BUCY,2009-11-06,2010-01-28,71772.44267947276,trailing_stop,11309,171.37367924977974,50.51247656727083,45.65518843772211,4.857288129548721,False,,,,,False,,,,,False,,,,
BUCY,2010-11-16,2011-04-15,19193.42924860854,trailing_stop,14122,380.0251470732838,89.70050207083128,82.69078346924114,7.009718601590137,False,,,,,False,,,,,False,,,,
RL,2009-11-10,2009-11-20,-71087.43730822296,stop_loss,18079,348.58126734844444,64.27001260181139,60.08705833207998,4.182954269731411,False,2009-11-20,60.16517354943467,-74886.2843470472,stop_loss,False,2009-11-20,60.16517354943467,-74886.2843470472,stop_loss,False,2009-11-20,60.16517354943467,-74886.2843470472,stop_loss
RL,2017-12-05,2017-12-07,-54068.75441500902,stop_loss,27567,701.6441542935426,84.84107257391598,80.97939922180463,3.861673352111353,False,2017-12-07,82.85333812644369,-56182.72505940171,stop_loss,False,2017-12-07,82.85333812644369,-56182.72505940171,stop_loss,False,2017-12-07,82.85333812644369,-56182.72505940171,stop_loss
RL,2023-01-24,2023-01-30,-112590.20528434172,stop_loss,25712,918.3684414913542,119.05834389796648,112.5140109149112,6.54433298305527,False,2023-01-30,114.74063915710379,-112820.25613275521,stop_loss,False,2023-01-30,114.74063915710379,-112820.25613275521,stop_loss,False,2023-01-30,114.74063915710379,-112820.25613275521,stop_loss
IAG,2009-11-10,2009-12-08,-1845.1837076477088,trailing_stop,36134,174.28678364029338,16.07781993323863,14.342908791064852,1.734911142173777,False,,,,,False,,,,,False,,,,
TRA,2009-12-08,2009-12-21,-59345.625642665145,trailing_stop,35126,354.89425472829447,33.67821127069165,31.396014667820246,2.2821966028714016,False,,,,,False,,,,,False,,,,
TRA,2010-02-17,2010-04-30,144076.52389679704,trailing_stop,28226,343.65685753325926,40.5839601234393,37.478168740862806,3.1057913825764913,False,,,,,False,,,,,False,,,,
AGU,2009-12-09,2009-12-21,-36286.29763027344,trailing_stop,22749,351.24201017537854,51.466293049566794,47.640993483982285,3.825299565584508,False,,,,,False,,,,,False,,,,
VRTX,2009-11-06,2010-01-11,62297.11979491015,trailing_stop,29570,342.7630206,38.6386,35.97682683800383,2.661773161996166,True,2009-11-23,38.92103908538818,7663.692196602114,trailing_stop,True,2010-01-11,40.76919137191773,62297.160350347025,trailing_stop,True,2010-01-11,40.76919137191773,62297.160350347025,trailing_stop
VRTX,2011-02-24,2011-03-17,33738.210348908215,trailing_stop,30538,400.75353318,43.7437,41.41609425331353,2.3276057466864657,True,2011-03-17,44.87507817077637,33738.1545048351,trailing_stop,True,2011-03-17,44.87507817077637,33738.1545048351,trailing_stop,True,2011-03-17,44.87507817077637,33738.1545048351,trailing_stop
VRTX,2012-05-08,2012-05-30,250.53269841595284,stop_loss,24717,427.239969156,57.61756,53.14376852182925,4.473791478170746,True,2012-05-30,57.66228121948242,250.56283132053994,stop_loss,True,2012-05-30,57.66228121948242,250.56283132053994,stop_loss,False,2012-05-30,57.66228121948242,250.56283132053994,stop_loss
VRTX,2014-06-25,2014-08-01,-60459.84598945223,trailing_stop,20874,578.3283225719999,92.35226,84.54371749059932,7.808542509400681,False,2014-08-01,89.51039847564697,-60459.87779925146,trailing_stop,False,2014-08-01,89.51039847564697,-60459.87779925146,trailing_stop,False,2014-08-01,89.51039847564697,-60459.87779925146,trailing_stop
VRTX,2022-01-31,2022-02-11,-65112.79071398347,trailing_stop,13179,953.280046719,241.11087,230.21295777349656,10.897912226503394,True,2022-02-09,242.2774842681885,13463.636904185867,trailing_stop,False,2022-02-11,236.31345304870607,-65112.75054714051,trailing_stop,False,2022-02-11,236.31345304870607,-65112.75054714051,trailing_stop
VWO,2010-01-05,2010-01-21,-19717.94090063653,stop_loss,22282,182.4714758562926,27.297291663868084,26.444830425927535,0.8524612379405454,False,2010-01-21,26.467219690622205,-18855.057960464896,stop_loss,False,2010-01-21,26.467219690622205,-18855.057960464896,stop_loss,False,2010-01-21,26.467219690622205,-18855.057960464896,stop_loss
